Season,Episode,Title,Rating
1,1,Pilot,7.8
1,2,The Tagger,7.6
1,3,The Slump,7.6
1,4,M.E. Time,7.8
1,5,The Vulture,8.0
1,6,Halloween,8.5
1,7,48 Hours,8.1
1,8,Old School,7.8
1,9,Sal's Pizza,7.7
1,10,Thanksgiving,8.3
1,11,Christmas,8.2
1,12,Pontiac Bandit,8.2
1,13,The Bet,8.8
1,14,The Ebony Falcon,7.7
1,15,Operation: Broken Feather,8.2
1,16,The Party,8.6
1,17,Full Boyle,8.0
1,18,The Apartment,7.7
1,19,Tactical Village,8.5
1,20,Fancy Brudgom,7.7
1,21,Unsolvable,8.2
1,22,Charges and Specs,8.9
2,1,Undercover,8.2
2,2,Chocolate Milk,7.8
2,3,The Jimmy Jab Games,8.3
2,4,Halloween II,8.8
2,5,The Mole,8.2
2,6,Jake and Sophia,8.2
2,7,Lockdown,7.8
2,8,USPIS,8.0
2,9,The Road Trip,8.3
2,10,The Pontiac Bandit Returns,8.3
2,11,Stakeout,7.9
2,12,Beach House,8.3
2,13,Payback,8.0
2,14,Defense Rests,7.8
2,15,Windbreaker City,8.3
2,16,The Wednesday Incident,8.0
2,17,Boyle-Linetti Wedding,8.2
2,18,Captain Peralta,7.9
2,19,Sabotage,7.9
2,20,AC/DC,7.8
2,21,Det. Dave Majors,8.0
2,22,The Chopper,8.6
2,23,Johnny and Dora,9.1
3,1,New Captain,8.3
3,2,The Funeral,7.7
3,3,Boyle's Hunch,7.9
3,4,The Oolong Slayer,8.5
3,5,Halloween III,9.0
3,6,Into the Woods,7.8
3,7,The Mattress,7.8
3,8,Ava,8.2
3,9,The Swedes,7.9
3,10,Yippie Kayak,8.8
3,11,Hostage Situation,7.7
3,12,9 Days,8.0
3,13,The Cruise,8.1
3,14,Karen Peralta,7.7
3,15,The 9-8,8.0
3,16,House Mouses,7.8
3,17,Adrian Pimento,7.8
3,18,Cheddar,7.8
3,19,Terry Kitties,7.8
3,20,Paranoia,8.2
3,21,Maximum Security,8.1
3,22,Bureau,8.7
3,23,Greg and Larry,9.0
4,1,"Coral Palms, Part 1",8.2
4,2,"Coral Palms, Part 2",8.2
4,3,"Coral Palms, Part 3",8.4
4,4,The Night Shift,7.6
4,5,Halloween IV,8.7
4,6,Monster in the Closet,7.9
4,7,Mr. Santiago,8.3
4,8,Skyfire Cycle,7.8
4,9,The Overmining,8.1
4,10,Captain Latvia,7.6
4,11,"The Fugitive, Part 1",8.5
4,12,"The Fugitive, Part 2",8.5
4,13,The Audit,7.8
4,14,Serve & Protect,7.9
4,15,The Last Ride,8.3
4,16,Moo Moo,8.8
4,17,Cop-Con,8.3
4,18,Chasing Amy,8.1
4,19,Your Honor,8.0
4,20,The Slaughterhouse,8.1
4,21,The Bank Job,8.5
4,22,Crime & Punishment,8.6
5,1,The Big House Pt. 1,8.5
5,2,The Big House Pt. 2,8.4
5,3,Kicks,8.0
5,4,HalloVeen,9.5
5,5,Bad Beat,8.0
5,6,The Venue,7.8
5,7,Two Turkeys,8.1
5,8,Return to Skyfire,7.6
5,9,99,8.8
5,10,Game Night,8.6
5,11,The Favor,8.0
5,12,Safe House,8.7
5,13,The Negotiation,8.3
5,14,The Box,9.5
5,15,The Puzzle Master,7.8
5,16,NutriBoom,7.9
5,17,DFW,7.9
5,18,Gray Star Mutual,8.0
5,19,Bachelor/ette Party,8.5
5,20,Show Me Going,8.4
5,21,White Whale,8.0
5,22,Jake & Amy,9.2
6,1,Honeymoon,8.5
6,2,Hitchcock & Scully,8.8
6,3,The Tattler,7.8
6,4,Four Movements,7.5
6,5,A Tale of Two Bandits,8.3
6,6,The Crime Scene,8.6
6,7,The Honeypot,8.6
6,8,"He Said, She Said",7.1
6,9,The Golden Child,8.3
6,10,Gintars,7.6
6,11,The Therapist,8.2
6,12,Casecation,7.8
6,13,The Bimbo,8.1
6,14,Ticking Clocks,8.5
6,15,Return of the King,6.5
6,16,Cinco de Mayo,9.2
6,17,Sicko,8.6
6,18,Suicide Squad,9.1
7,1,Manhunter,8.2
7,2,Captain Kim,8.5
7,3,Pimemento,8.7
7,4,The Jimmy Jab Games II,8.0
7,5,Debbie,7.4
7,6,Trying,8.0
7,7,Ding Dong,8.9
7,8,The Takeback,8.4
7,9,Dillman,8.9
7,10,Admiral Peralta,8.1
7,11,Valloweaster,8.4
7,12,Ransom,9.0
7,13,Lights Out,9.4
